initial_ang_1,initial_ang_2,initial_ang_3,initial_ang_4,initial_ang_5,target_pos_x,target_pos_y,target_pos_z,final_ang_1,final_ang_2,final_ang_3,final_ang_4,final_ang_5,algorithm
0,0,0,0,0,-296.684,206.198,522.472,2.5339,0.65724,0.484878,1.24141,2.39757,NN_Adam
0,0,0,0,0,-254.54,109.146,442.731,2.73617,0.723416,1.42976,6.07882,0.988303,NN_Adam
0,0,0,0,0,-152.163,201.016,38.9233,2.21859,4.08658,1.61363,2.5892,0.164514,NN_Adam
0,0,0,0,0,-534.566,47.021,87.2958,3.05381,6.10172,0.052097,1.63445,1.99764,SGO_Adam
0,0,0,0,0,-414.72,99.8973,237.118,2.90494,5.85468,1.72537,0.386345,5.86949,GA_Adam
0,0,0,0,0,84.2864,-195.454,157.698,5.11893,1.37142,5.48507,5.87459,5.26321,NN_Adam
0,0,0,0,0,-134.541,284.224,141.131,2.01289,4.56008,1.81419,2.14902,0.486989,NN_Adam
0,0,0,0,0,220.432,229.484,52.1389,0.805397,4.68911,1.04299,2.7669,4.54565,SGO_Adam
0,0,0,0,0,-114.794,-210.812,181.4,4.21374,5.4998,3.3081,5.63582,1.26648,DE_Adam
0,0,0,0,0,199.414,-414.351,259.218,5.16088,0.623965,0.153593,0.450545,2.87431,NN_Adam
0,0,0,0,0,319.913,-147.944,369.662,2.70837,2.75937,0.557381,0.348264,2.38395,PSO_Adam
0,0,0,0,0,391.338,-47.2884,80.9461,3.02121,2.47311,0.908675,1.97047,5.88884,NN_Adam
0,0,0,0,0,-89.4623,-422.492,79.9944,1.36197,2.75563,0.491116,2.00087,1.72265,NN_Adam
0,0,0,0,0,244.485,114.041,53.3338,0.436262,4.61199,2.89995,0.0304012,1.59582,SGO_Adam
0,0,0,0,0,307.455,349.078,272.054,0.848562,6.25453,1.13942,0.49871,5.73413,NN_Adam
0,0,0,0,0,43.0372,98.8119,85.0197,4.30152,5.65555,2.72023,3.03544,0.353671,NN_Adam
0,0,0,0,0,-66.1418,317.598,257.498,1.77612,0.141429,2.04962,5.56482,4.84654,NN_Adam
0,0,0,0,0,-3.20749,73.4277,171.943,1.6143,4.26686,1.62084,3.61655,1.6879,PSO_Adam
0,0,0,0,0,-172.418,-165.297,137.279,3.90587,5.36684,3.36951,5.52741,1.26648,NN_Adam
0,0,0,0,0,-144.295,130.225,489.861,2.4073,2.28649,4.9364,1.19846,5.93834,NN_Adam
0,0,0,0,0,229.055,414.836,356.697,1.06595,0.749035,5.55404,2.036,2.83862,NN_Adam
0,0,0,0,0,-48.9701,164.113,297.628,1.86063,0.445081,4.05371,4.80149,6.17791,NN_Adam
0,0,0,0,0,43.6813,185.198,181.698,1.33903,3.22016,3.8107,0.615072,1.68825,NN_Adam
0,0,0,0,0,-194.397,-323,51.1378,1.02887,2.43414,1.2428,1.6625,6.08012,SGO_Adam
0,0,0,0,0,-199.607,-86.766,182.913,3.55154,2.00223,2.96086,3.00974,3.28783,PSO_Adam
0,0,0,0,0,4.19072,-158.679,130.683,4.73876,1.28549,5.36074,5.71618,5.26321,NN_Adam
0,0,0,0,0,38.3268,381.224,55.7981,1.4705,1.00183,4.81593,1.2012,1.11678,NN_Adam
0,0,0,0,0,-156.984,402.099,190.17,1.943,5.32894,1.45973,1.56457,0.486989,NN_Adam
0,0,0,0,0,-206.243,-360.312,177.057,1.05044,2.44622,0.513553,2.19676,1.4549,NN_Adam
0,0,0,0,0,-350.545,-161.98,60.6138,0.432746,2.4642,1.08701,1.80037,0.996245,DE_Adam
0,0,0,0,0,261.338,56.2431,80.5109,0.211874,4.62786,2.97057,0.0583924,1.59582,NN_Adam
0,0,0,0,0,92.2835,26.3696,105.462,3.41986,6.01883,2.53984,2.93396,0.353671,NN_Adam
0,0,0,0,0,118.568,305.841,342.378,1.20085,1.75849,4.1635,2.36145,2.83862,NN_Adam
0,0,0,0,0,47.4833,34.3111,19.3657,3.76716,5.88858,2.73002,3.2407,0.353671,NN_Adam
0,0,0,0,0,-48.2705,208.771,91.4873,1.79797,2.72227,3.48985,1.11668,1.68825,NN_Adam
0,0,0,0,0,231.372,-296.465,57.1969,2.23341,3.60773,0.525499,0.138397,4.79934,NN_Adam
0,0,0,0,0,18.2894,421.112,353.898,1.52706,0.848405,0.177721,0.430213,5.90084,GA_Adam
0,0,0,0,0,41.7048,291.226,228.959,1.42842,0.130992,2.38234,5.25886,4.84654,NN_Adam
0,0,0,0,0,394.419,-249.082,230.945,2.57816,2.88669,0.0721609,1.66002,0.428259,SGO_Adam
0,0,0,0,0,105.398,424.753,102.463,1.32757,0.162435,0.550152,0.0450977,5.82413,NN_Adam
0,0,0,0,0,117.438,409.134,360.71,1.29112,0.0981321,6.23898,2.59123,2.53824,SGO_Adam
0,0,0,0,0,-402.937,-291.503,301.457,3.76775,0.0639761,0.688668,1.06032,3.41488,NN_Adam
0,0,0,0,0,132.813,-325.06,263.034,5.10019,1.00797,0.0678603,6.11429,2.87431,NN_Adam
0,0,0,0,0,148.443,-90.7917,105.349,2.59248,3.84662,2.76086,4.31498,6.22657,NN_Adam
0,0,0,0,0,-203.236,-230.763,12.7025,3.99022,0.138461,0.336451,5.81209,0.954884,NN_Adam
0,0,0,0,0,-111.923,39.9537,501.476,2.79871,2.54201,4.94714,1.06912,5.93834,NN_Adam
0,0,0,0,0,-301.276,252.422,468.673,2.44401,0.809043,0.357998,0.806889,2.03274,NN_Adam
0,0,0,0,0,-373.525,146.576,390.456,2.76752,0.0571834,0.193001,2.5012,2.06914,NN_Adam
0,0,0,0,0,-417.797,111.495,43.6203,2.88063,5.72844,1.40896,0.112277,4.41349,NN_Adam
0,0,0,0,0,-387.565,-249.798,292.895,3.71405,6.25273,1.16073,0.571467,3.41488,NN_Adam
0,0,0,0,0,-373.742,39.7738,486.531,3.03543,0.365851,0.834293,1.18473,1.11345,GA_Adam
0,0,0,0,0,-69.6464,390.854,431.191,1.74708,1.02821,0.00215011,0.70494,1.23374,SGO_Adam
0,0,0,0,0,-265.386,-170.326,167.225,3.71229,5.55481,2.68492,5.88905,1.26648,NN_Adam
0,0,0,0,0,-307.906,183.251,415.734,2.60471,0.0719584,0.263009,2.60632,2.06914,NN_Adam
0,0,0,0,0,166.478,-378.837,191.908,5.12628,0.745774,6.21682,0.160146,2.87431,NN_Adam
0,0,0,0,0,-91.8025,-185.361,282.447,4.25284,3.0554,3.44018,1.8027,0.341132,SGO_Adam
0,0,0,0,0,-91.637,-208.71,297.008,4.29832,2.75426,3.66082,1.78435,0.341132,NN_Adam
0,0,0,0,0,-258.654,-219.352,360.609,0.703221,2.15522,1.42869,0.415925,1.46502,NN_Adam
